infinitiveform,translation,
abejoti,doubt,
absorbuoti,absorb,
abstrahuoti,abstract,
abuojėti,become angry,
adaptuoti,adapt,
adaptuotis,adapt,
adinėti,darn,
adyti,darn,
administruoti,administer,
adresuoti,address,
aidėti,echo,
aikčioti,sigh,
aiškėti,become clear,
aiškinti,explain,
aiškintis,clarify,
akcentuoti,emphasize,
akėti,harrow,
akinti,dazzle,
akti,overgrow,
aktyvėti,spur,
aktyvinti,make more active,
aktyvuoti,activate,
alkti,hunger,
alpti,faint,
alsinti,fatigue,
amputuoti,amputate,
amsėti,yap,
amžinti,make eternal,
analizuoti,analyse,
aneksuoti,annex,
antspauduoti,seal,
anuliuoti,annul,
apakinti,blind,
apakti,turn blind,
apalpti,pass out,
apauti,put on (a shoe),
apbėgti,run around,
apdengti,cover,
apdėti,put round,
apdoroti,process,
apdovanoti,reward,
apdrausti,insure,
apduiti,fog,
apdumti,trick,
apeiti,go around,
apeliuoti,appeal,
apgailestauti,regret,
apgalvoti,consider,
apgaubti,envelop,
apgaudinėti,cheat,
apgauti,trick,
apgerti,drink around,
apginkluoti,arm,
apginti,defend,
apgyvendinti,populate,
apglėbti,embrace,
apgulti,besiege,
apibėgti,run around,
apibrėžti,define,
apibūdinti,describe,
apieškoti,search,
apimti,include,
apipavidalinti,design,
apipilti,pour over,
apipinti,weave,
apipjaustyti,circumsize,
apiplėšinėti,rob,
apiplėšti,rob,
apjuosti,begird,
apkabinti,hug,
apkakoti,apkakoti,
apkalbėti,slander,
apkalti,upholster,
apkaltinti,accuse,
apkarsti,become bitter,
apkeisti,replace,
apkeliauti,travel around,
apkepinti,broil,
apkerėti,enchant,
apkerpėti,become covered with lichen,
apkęsti,tolerate,
apkirpti,dress hair,
apklausti,survey,
apkloti,blanket,
apkrėsti,infect,
apkursti,become deaf,
apkurtinti,din,
apkvailinti,fool,
apkvaisti,get high,
aplankyti,visit,
apleisti,forsake,
aplenkti,overtake,
aplyti,rain on,
aplopyti,patch up,
aploti,bark on,
apmalšinti,suppress partly,
apmąstyti,consider,
apmauti,fuck up,
apmėtyti,whip,
apmyžti,piss (on something),
apmokėti,pay,
apmokyti,instruct,
apmulkinti,fool,
apmušti,upholster,
apnikti,surround,
apniukti,overcloud,
apraminti,calm,
aprašyti,describe (by writing),
apriboti,limit,
aprobuoti,approve,
aprodyti,show around,
aprūpinti,provide,
apsakyti,tell,
apsalti,grow sweet,
apsaugoti,protect,
apsėsti,obsess,
apsiauti,put on (shoes),
apsibrėžti,define,
apsidairyti,look round,
apsidengti,cover oneself,
apsidžiaugti,cheer up,
apsieiti,dispense (with something),
apsigalvoti,reconsider,
apsigimti,be born deformed,
apsiginti,defend oneself,
apsigyventi,settle in,
apsikabinti,hug each other,
apsikeisti,exchange,
apsikirpti,have a haircut,
apsilaižyti,lick around (usually ones lips),
apsilankyti,visit,
apsileisti,grow careless,
apsimesti,pretend,
apsimeti,pretend,
apsimetinėti,pretend,
apsimokėti,pay off,
apsiniaukti,become gloomy,
apsinuodyti,get poisoned,
apsipirkti,shop,
apsiraminti,calm down,
apsireikšti,manifest,
apsirengti,get dressed,
apsiriboti,confine,
apsirikti,be mistaken,
apsisaugoti,protect oneself,
apsiskaityti,become educated,
apsispręsti,decide,
apsistoti,stay,
apsisukti,turn around,
apsitarti,discuss,
apsitvarkyti,clean up a little bit,
apsivalgyti,eat too much,
apsivemti,vomit,
apsiverkti,burst into tears,
apsiversti,roll over,
apsivesti,marry,
apsivilkti,put on (clothes),
apsivogti,steal,
apsižiūrėti,look around,
apsižliumbti,burst into tears,
apsižodžiuoti,swear at each other,
apsižvalgyti,look around,
apskaičiuoti,calculate,
apskrieti,fly around,
apsnigti,snow over,
apspisti,surround,
apspręsti,decide,
apstatyti,build around,
apstoti,surround,
apstulbinti,surprise,
apstulbti,stupefy,
apsukti,turn (something) around,
apsunkinti,aggravate,
apsupti,surround,
apsvarstyti,consider,
apšaudyti,shoot,
apšvarinti,steal,
apšviesti,enlighten,
aptarinėti,discuss,
aptarnauti,serve,
aptarti,discuss,
aptemdyti,obscure,
aptemti,become dark,
aptikti,spoil,
aptverti,fence,
apvainikuoti,crown,
apvaisinti,impregnate,
apvalyti,purify,
apversti,turn over,
apvesti,walk arround,
apvilkti,clothe,
apvilti,disappoint,
apvynioti,enwind,
apvirsti,overturn,
apvogti,rob,
apžavėti,charm,
apželti,overgrow,
apžiūrėti,examine,
apžlibti,become purblind,
apžvelgti,review,
ardyti,disassemble,
areštuoti,arrest,
artėti,approach,
arti,plough,
artinti,zoom,
artintis,approach,
asimiliuoti,assimilate,
asmenuoti,conjugate,
asocijuoti,associate,
atakuoti,attack,
atarti,plough,
atbėgti,come running,
atburti,sail back,
ateiti,come,
atgabenti,bring,
atgailauti,repent,
atgaivinti,revive,
atgauti,recover,
atgimti,be reborn,
atgyti,come alive,
atgręžti,turn to face,
atgulti,have a nap,
atidaryti,open,
atidėlioti,procrastinate,
atidengti,uncover,
atidėti,delay,
atidirbti,work off,
atiduoti,give away,
atimti,take,
atitaisyti,repair,
atitekti,fall to,
atitikti,match,
atitirpdyti,unfreeze,
atitolinti,stave off,
atitraukti,unzip,
atitrūkti,break away,
atjungti,disconnect (something),
atkalbėti,talk out,
atkalbinėti,discourage,
atkartoti,reproduce,
atkąsti,bite,
atkasti,dig out,
atkelti,put off,
atkeršyti,revenge,
atkimšti,broach,
atkirsti,cut off,
atkreipti,direct,
atkurti,recreate,
atlaikyti,cope,
atlaisvinti,free up,
atleisti,forgive,
atlyginti,compensate,
atlikinėti,perform,
atlikti,perform,
atmerkti,open ones eyes,
atmesti,reject,
atminti,commemorate,
atmušti,refute,
atnarplioti,unravel,
atnaujinti,renew,
atnešti,bring,
atostogauti,be on holidays,
atpalaiduoti,relax,
atpasakoti,retell,
atpažinti,recognize,
atplaukti,arrive by sea or swimming,
atplėšti,tear off,
atrakinti,unlock,
atrasti,discover,
atrašyti,respond (by writing),
atremti,counter,
atriekti,slice off,
atrinkti,select,
atrišti,loose,
atrodyti,seem,
atsakinėti,respond,
atsakyti,respond,
atsėdėti,finish ones prison term,
atsegti,unzip,
atsekti,trace,
atsibosti,get bored,
atsibučiuoti,kiss goodbye,
atsibusti,wake up,
atsidaryti,open,
atsidėkoti,thank,
atsiduoti,indulge,
atsidurti,find oneself,
atsidusti,sigh,
atsieiti,cost,
atsigaivinti,refresh oneself,
atsigauti,recover,
atsigerti,drink,
atsigirdėti,echo,
atsigręžti,turn back,
atsigriebti,get back (at somebody),
atsigulti,lie down,
atsiimti,withdraw,
atsijungti,disconnect,
atsikartoti,repeat,
atsikąsti,bite off,
atsikelti,get up,
atsiklaupti,kneel down,
atsiklausti,ask,
atsikratyti,get rid,
atsikvėpti,relax,
atsilaikyti,resist,
atsiliepti,respond,
atsilyginti,return (a favor or a debt),
atsilikti,lag,
atsimesti,leave the group,
atsiminti,remember,
atsinešti,bring,
atsipalaiduoti,relax,
atsipirkti,pay off,
atsiplėšti,tear off,
atsiprašinėti,ask (repeatedly) for forgiveness,
atsiprašyti,apologize,
atsirasti,appear,
atsiremti,lean,
atsisakyti,decline,
atsisėsti,sit down,
atsisiųsti,download,
atsiskaityti,pay back,
atsiskirti,separate oneself,
atsiskleisti,unroll,
atsislinkti,move (one's body),
atsispindėti,reflect,
atsispirti,resist,
atsistatydinti,retire,
atsistoti,stand up,
atsisukti,turn,
atsisveikinti,bid farewell,
atsišvartuoti,moor,
atsitikti,happen,
atsitraukti,pull back,
atsitrenkti,strike,
atsitūpti,duck,
atsiųsti,send,
atsiveikinti,bid a goodbye,
atsiversti,open (a page),
atsiverti,open up,
atsivesti,bring (somebody),
atsivežti,bring,
atsivilioti,lure,
atsižadėti,forsake,
atsižavėti,stop admiring,
atsižvelgti,take into account,
atskirti,separate,
atskleisti,reveal,
atskristi,fly in,
atskubėti,rush,
atslūgti,flood back,
atspardyti,beat by kicking,
atspausdinti,print,
atspėti,guess,
atspindėti,reflect,
atspirti,kick back,
atstatyti,rebuild,
atstoti,substitute,
atstovauti,represent,
atstumti,repel,
atsukti,unscrew,
atšaldyti,cool,
atšalti,become cold,
atšaukti,cancel,
atšilti,warm up,
atšnekėti,discuss,
atšokti,bounce,
atšvęsti,celebrate,
atvaizduoti,depict,
atvargti,take pains,
atvažiuoti,come (by vehicle),
atversti,open (a book),
atverti,open,
atvesti,bring (somebody),
atvėsti,cool,
atvežti,bring,
atvykti,arrive,
atvilioti,lure,
atžymėti,deselect,
audėti,buzz,
auginti,grow (something),
augti,grow,
auklėti,educate,
aukoti,donate,
aukotis,sacrifice oneself,
auksuoti,gild,
aukštinti,heighten,
austi,weave,
aušti,dawn,
auti,pull (something) off,
autis,put on (shoes),
automatizuoti,automatize,
avėti,wear (shoes),
badauti,be on famine,
badyti,bunt,
baidyti,scare away,
baidytis,take fright,
baigti,finish,
baigtis,end,
baiminti,get scared,
baimintis,fear,
baisėti,turn scarrier,
baisėtis,be scared,
bakstelėti,poke,
balansuoti,balance,
balinti,whiten,
balnoti,saddle,
balsti,become white,
balsuoti,vote,
baltėti,become white,
balti,become white,
baltinti,make white,
baltuoti,show white,
bandyti,try,
banguoti,waive,
bankrutuoti,go bankrupt,
barstyti,sprinkle,
barstytis,scatter,
barškinti,rattle,
barti,scold,
bartis,quarrel,
bauginti,terrify,
bausti,punish,
bėginėti,run to and from,
bėgioti,run around,
bėgti,run,
belsti,knock,
belstis,knock,
bendradarbiauti,cooperate,
bendrauti,communicate,
bepridurti,add,
berti,strew,
besti,point (a finger),
beveikti,annoy,
bezdėti,fart,
bidzenti,trot,
bijoti,fear,
bylinėtis,litigate,
byloti,testify,
birbti,buzz,
byrėti,pour,
birti,crumble,
bjaurėtis,loathe,
bjurti,get ugly,
blankti,sink,
blaškyti,throw around,
blaškytis,wander,
blefuoti,bluff,
blęsti,mix,
blykšti,turn pale,
blizgėti,shine,
blizginti,polish,
blogėti,become worse,
bloginti,worsen,
blogti,weaken,
blokšti,throw,
blokuoti,block,
blukinti,decolorize,
blukti,fade,
bodėti,despise,
boluoti,show white,
bombarduoti,bomb,
braidyti,wade through,
braižyti,draw,
brandinti,mature,
branginti,cherish,
brangti,become more expensive,
braukyti,underline,
braukti,run something over,
brautis,push through,
brazdėti,rustle,
bręsti,mature,
brėžti,draw,
brinkti,bloat,
bristi,wade through,
brukti,press,
brūžinti,grind,
bučiuoti,kiss,
bučiuotis,kiss,
budėti,be on duty,
budinti,wake,
būgštauti,be scared,
bujoti,thrive,
burbėti,mumble,
burbuliuoti,gobble,
buriuoti,sail,
būriuoti,sail,
burti,divine,
busti,wake up,
būti,be,
buvoti,be,
cypauti,creek,
cypti,yelp,
cituoti,cite,
civilizuoti,civilize,
čežėti,twitter,
čežti,wilt,
čiaudėti,sneeze,
čiauškėti,chirp,
čiaužti,slide,
čirpėti,twitter,
čiulbėti,chirp,
čiulpti,suck,
čiuožinėti,skate,
čiuožti,skate,
čiupti,grab,
dabinti,decorate,
dailėti,become nicer,
dainuoti,sing,
dairytis,look around,
dalinti,divide,
dalintis,share,
dalyti,divide,
dalytis,divide,
dalyvauti,participate,
dangstytis,hide behind,
darbuotis,work intensively,
daryti,do,
darytis,make (for oneself),
daugėti,increase in number,
dauginti,multiply,
daugintis,multiply,
daužinėti,smash,
daužyti,beat,
daužti,slam,
davinėti,give (often),
dažyti,dye,
dažytis,paint oneself,
deaktivuoti,deactivate,
debiutuoti,make one's debut,
dedikuoti,dedicate,
deginti,burn,
degintis,tan,
degti,burn,
dejuoti,moan,
deklaruoti,declare,
dekoruoti,decorate,
dėkoti,thank,
dėlioti,put,
delsti,delay,
dėmėti,stain,
demonstruoti,demonstrate,
dengti,cover,
deportuoti,deported,
derėti,fit,
derėtis,negotiate,
dergti,befoul,
derinti,arrange,
derintis,match up,
dėstyti,teach,
dėti,put,
dėtis,occur,
devalvuoti,devaluate,
dėvėti,wear,
dėvėtis,wear,
diagnozuoti,diagnose,
didėti,increase,
didinti,increase,
didžiuotis,be proud,
dienoti,dawn,
dievagotis,swear,
dievinti,adore,
dygti,sprout,
dykinėti,fool around,
diktuoti,dictate,
dilti,wear out,
dingti,disappear,
dirbinėti,potter,
dirbti,work,
dirbtis,go (for work),
direktoriauti,govern,
dirginti,irritate,
dirgti,grow worse,
diriguoti,conduct,
dirstelėti,dart a glance,
dirti,flay,
diskutuoti,discuss,
dobti,beat,
domėtis,be interested,
dominti,interest,
dominuoti,dominate,
doroti,deal (with something),
dorotis,cope,
dovanoti,give as a gift,
dovanotis,give a gift to oneself,
drabstyti,spatter,
dramatizuoti,dramatize,
drąsinti,encourage,
drąskyti,tear,
draskyti,tear to pieces,
draugauti,be friends,
drausti,forbid,
draustis,insure oneself,
drebėti,shiver,
drebinti,quaver,
drėbti,chuck,
drėgti,moisten,
dreifuoti,drift,
drėksti,scratch,
drėkti,moisten,
drybsoti,idle,
dribti,drop,
drįsti,dare,
drovėtis,feel shy,
drožti,sharpen,
drumsti,disturb,
drumstis,gloom,
dubliouti,dub,
dubti,stick,
dūgzti,buzz,
dūkti,disport,
dulkinti,dust,
dulkintis,shag,
dulksnoti,drizzle,
dumti,trick,
dundėti,crash,
duoti,give,
duotis,give to oneself,
durti,stab,
dūsauti,sigh,
dusinti,suffocate,
dusti,suffocate,
dužti,shatter,
dvejoti,hesitate,
dvelkti,whiffle,
dvėsti,croak,
dvigubinti,double,
dvokti,stink,
džiaugtis,be happy,
džiauti,hang up,
džiovinti,dry,
džiūgauti,cheer,
džiuginti,please,
džiūti,dry,
egzistuoti,exist,
eidinėti,walk (often),
eikvoti,waste,
eiliuoti,verse,
eiti,go,
eitis,be going,
eksperimentuoti,experiment,
ekzaminuoti,examine,
ekzistuoti,exist,
elektrifikuoti,electrify,
elgegauti,beg (for money),
elgetauti,beg,
elgtis,behave,
ėmėti,take,
emigruoti,emmigrate,
emuliuoti,emulate,
engti,oppress,
erzinti,tease,
erzintis,get annoyed,
ėsti,devour,
evakuoti,evacuate,
evakuotis,evacuate,
fantazuoti,fantasize,
fermentuotis,ferment,
figūruoti,figure,
filmuoti,film,
filosofuoti,philosophize,
finansuoti,finance,
flirtuoti,flirt,
fokusuoti,focus,
forminti,formalize,
formuoti,form,
formuotis,form,
fotografuoti,photograph,
funkcionuoti,function,
gabenti,transport,
gadinti,spoil,
gagėti,cackle,
gailėti,pity,
gailėtis,regret,
gaišti,waste time,
gaivinti,refresh,
galąsti,sharpen,
galėti,be able,
galioti,be valid,
galvoti,think,
gaminti,make,
gamintis,cook (for oneself),
ganyti,herd,
garantuoti,guarantee,
garbanoti,curl,
garbinti,glorify,
garsėti,become louder,
garuoti,give off steam,
gąsdinti,scare,
gąstauti,be afraid,
gaubti,mantle,
gaudyti,catch,
gausėti,become more abundant,
gauti,get,
gebėti,be able,
gedėti,mourn,
gėdinti,shame,
gėdintis,be ashamed,
gėdyti,shame,
gėdytis,be ashamed,
geibti,weaken,
geisti,desire,
gelbėti,save,
gelsti,turn yellow,
gelsvinti,make yellower,
gelti,sting,
geltonėti,become yellow,
geltoninti,make yellow,
geltonuoti,show yellow,
genėti,trim off,
gerbti,respect,
gerėti,become better,
gėrėtis,admire,
gerinti,improve,
gerintis,improve oneself,
gerti,drink,
gervuogiauti,pick blueberries,
gesinti,put down,
gesti,deteriorate,
gydyti,heal (something),
gydytis,undergo treatment,
giedoti,chant,
giedrėti,clear up,
giedryti,clear up,
giedrytis,clear up,
gilėti,become deeper,
gilinti,deepen,
gilintis,go deep (into some subject),
gilti,sting,
gimdyti,give birth,
giminuotis,become relatives,
gimti,be born,
ginčyti,contest (something),
ginčytis,argue,
ginkluoti,arm,
ginti,protect,
gintis,protect oneself,
girdėti,hear,
girdyti,water,
girgždėti,squeak,
girtauti,carouse,
girti,praise,
girtis,boast,
gyti,heal,
gyventi,live,
gyventis,be lived,
gyvėti,brighten up,
gyvinti,liven up,
gyvuoti,prosper,
gižti,turn sourish,
glamonėti,fondle,
glaudyti,push on,
glausti,clasp,
glaustis,snuggle up,
glaustytis,press oneself to something,
glėbti,embrace,
glerti,dilapidate,
gležti,become weaker,
globoti,foster,
glostyti,caress,
glūdėti,lie,
gnaibyti,pinch,
gnybtelėti,pinch,
gnybti,nip,
gniuždyti,crush,
gniužti,become crushed,
gobtis,cover oneself,
godėti,treat (someone),
grabinėti,paw,
graibyti,grope,
graibytis,grope,
gramdyti,scrape,
grasinti,threaten,
graudenti,turn to tears,
graudentis,bring oneself to tears,
graudinti,turn to tears,
graužti,gnaw,
graužtis,be distressed,
graviruoti,engrave,
gražėti,become nicer,
gražinti,make (something) look nicer,
grąžinti,return (something),
gražintis,preen,
grėbti,rake,
greitinti,speed up,
grėsti,threaten,
gręžti,drill,
griaudėti,roar,
griausti,thunder,
griauti,bring down,
grybauti,hunt mushrooms,
grybštelėti,snap,
griebti,grab,
griebtis,pull oneself together,
grieti,grab,
griežti,play (a violin),
griežtinti,make more strict,
grimti,sink,
grimuoti,make up,
grimzti,plunge,
grįsti,pave,
griūti,fall down,
grizti,start loving,
grįžti,come back,
grobstyti,embezzle,
grobti,kidnap,
groti,play an instrument,
grožėtis,observe the beauty (of someone or something),
grūdinti,harden,
grūmoti,threaten,
grumtis,tussle,
grūsti,cram,
gudrauti,contrive,
gudrėti,become smarter,
guglinti,google,
gugti,bend,
guldyti,lay,
gulėti,lie,
gulti,lie down,
gultis,lie down,
gundyti,tempt,
guosti,comfort,
guostis,console oneself,
gurkšnoti,sip,
gūžtis,squirm,
gverti,wear of,
gvildenti,discuss,
hipnotizuoti,hipnotise,
identifikuoti,identify,
ieškoti,search,
ignoruoti,ignore,
ilgėti,lengthen,
ilgėtis,miss (somebody),
ilsėti,rest,
ilsėtis,take a rest,
ilsinti,rest,
imigruoti,immigrate,
imituoti,imitate,
imponuoti,impress,
importuoti,import,
improvizuoti,improvise,
imti,take,
imtis,take up,
infekuoti,infect,
informuoti,inform,
inkšti,yelp,
inspiruoti,inspire,
integruoti,integrate,
integruotis,get integrated,
interpretuoti,interpret,
investuoti,invest,
irkluoti,paddle,
irti,disintegrate,
irtis,row,
issigąsti,be frightened,
isšikeroti,spread out,
išaiškėti,become clear,
išaiškinti,explain,
išardyti,dismantle,
išauginti,grow,
išaugti,grow out,
išauklėti,educate,
išaukštinti,exalt,
išbandyti,try out,
išbėgti,run out,
išberti,break out,
išbirti,crumble,
išblukinti,fade,
išblukti,discolor,
išbraukti,strike out,
išdalinti,give out,
išdalyti,distribute,
išdavinėti,extradite,
išdėlioti,lay out,
išdėstyti,state,
išdygti,shoot up,
išdykauti,act naughty,
išdirbti,work out,
išdrįsti,dare,
išdrožti,engrave,
išdulkinti,fuck,
išduoti,give (something) in,
išdurti,trick,
išdžiovinti,dry,
išdžiūti,dry,
išeikvoti,waste out,
išeiti,leave,
išgabenti,carry out,
išgalėti,afford,
išgalvoti,fabricate,
išgarsėti,become famous,
išgaruoti,evaporate,
išgąsdinti,scare,
išgauti,produce,
išgeibti,weaken,
išgelbėti,save,
išgerti,drink,
išgydyti,cure,
išgirsti,hear,
išgirti,exalt,
išgyti,heal,
išgyventi,survive,
išgręžti,drill,
išgryninti,purify,
išgrįsti,pave,
išgulėti,lie,
išgvildenti,thrash out,
išimti,take out,
iširti,break up,
išjoti,ride out,
išjudinti,move,
išjungti,turn off,
išjuokti,mock,
iškasti,excavate,
iškeikti,reprimand,
iškeisti,exchange,
iškeliauti,leave,
iškelti,raise,
iškentėti,suffer through,
iškepti,bake,
iškęsti,endure,
iškilti,raise up,
iškirpti,cut out,
iškirsti,cut down,
iškišti,put out,
išklausyti,listen,
iškoduoti,decode,
iškovoti,gain (through fighting),
iškrapštyti,pluck out,
iškrauti,unload,
iškristi,fall out,
iškvėpti,exhale,
iškviesti,call up,
išlaidauti,enter into expenditure,
išlaidyti,let everybody go (somewhere),
išlaikyti,support,
išlaipinti,disembark,
išlaisvinti,set free,
išlaukti,wait out,
išlaužti,break,
išleisti,spend (money),
išlenkti,curve,
išlepinti,spoil,
išlydėti,send off,
išlydyti,melt,
išlieti,spill,
išlyginti,smooth,
išlikti,survive,
išlipti,step out,
išlysti,bulge,
išlįsti,come out,
išlošti,win,
išlupti,pull out,
išmaldauti,beg,
išmanyti,have a good grasp (of something),
išmąstyti,think of,
išmėginti,try,
išmesti,throw away,
išmėtyti,scatter,
išminuoti,clear of mines,
išmokėti,pay out,
išmokinti,teach,
išmokyti,teach,
išmokti,learn,
išmušti,dislodge,
išnagrinėti,analyze,
išnaikinti,eradicate,
išnarinti,rick,
išnarplioti,unravel,
išnaudoti,abuse,
išnešti,take away,
išnykti,disappear,
išnuomoti,let (an apartment),
išnuomuoti,rent out,
išpakuoti,unpack,
išparduoti,sell out,
išpažinti,confess,
išperėti,hatch,
išpešti,pick out,
išpildyti,fulfill,
išpilstyti,pour away,
išpilti,spill,
išpirkinėti,keep buying back,
išpirkti,buy out,
išpjauti,cut out,
išplatinti,disseminate,
išplėsti,expand,
išplisti,spread,
išpranašauti,foretell,
išprievartauti,rape,
išprotėti,go crazy,
išprovokuoti,provoke,
išprusti,become educated,
išpurenti,hoe,
išpurti,fuzz,
išpurtyti,shake out,
išpurvinti,dirty,
išraižyti,etch,
išrasti,invent,
išrašyti,write out,
išrausti,dig up,
išrauti,root out,
išreikšti,express,
išrengti,undress,
išretėti,become scarce,
išrėžti,cut out,
išrinkti,pick,
išryškėti,become clearer,
išryškinti,brighten,
išrišti,untie,
išrodyti,show,
išsakyti,say,
išsaugoti,preserve,
išsekinti,drain,
išsekti,run out,
išsiaiškinti,find out,
išsidėstyti,deploy,
išsigalvoti,makė up,
išsigąsti,get scared,
išsigelbėti,save oneself,
išsigimti,be born defected,
išsiilgti,miss,
išsijungti,turn off,
išsikalbėti,talk thing,
išsikapstyti,get out,
išsikelti,move out,
išsikepti,bake,
išsikrapštyti,get out,
išsikraustyti,move out,
išsikviesti,call up (a service),
išsilaikyti,hold out,
išsilaipinti,deplane,
išsilaisvinti,become free,
išsilavinti,get educated,
išsimaudyti,get a shower,
išsimiegoti,sleep off,
išsinerti,lay oneself out,
išsinešdinti,get out,
išsinešti,take away,
išsinuomoti,rent,
išsinuomuoti,rent,
išsipasakoti,tell one's story,
išsipildyti,come true,
išsipirkti,redeem oneself,
išsiplėsti,expand oneself,
išsiprausti,wash oneself,
išsireikšti,express oneself,
išsirengti,undress,
išsirinkti,choose,
išsirūpinti,obtain,
išsiskirstyti,disperse,
išsiskirti,divorce,
išsisklaidyti,disperse,
išsiskleisti,unfold,
išsispręsti,solve itself,
išsisukti,evade,
išsišnypšti,blow (ones nose),
išsitempti,overreach,
išsitepti,smudge,
išsitiesti,uncoil,
išsitraukti,pull out,
išsitrinti,rub off,
išsiuntinėti,send out,
išsiurbti,suck up,
išsiųsti,dispatch,
išsivaduoti,get rid of,
išsivalyti,clean,
išsivelti,smudge,
išsiversti,manage without,
išsiveržti,escape,
išsiviepti,pull a wry face,
išsivirti,boil (for oneself),
išsivystyti,develop,
išskaičiuoti,count out,
išskaidyti,divide up,
išskaityti,deduct (by reading),
išskalbti,launder,
išskėsti,spread,
išskirti,except,
išskleisti,expand,
išskolinti,lend away,
išskristi,fly out,
išspausdinti,print,
išspausti,squeeze out,
išspresti,solve,
išspręsti,solve,
išsprogdinti,blow up,
išsprūsti,slip,
išstudijuoti,study,
išstumti,displace,
iššaukti,evoke,
iššauti,shoot,
iššifruoti,decypher,
